repos_qualificados
freeCodeCamp/freeCodeCamp
codecrafters-io/build-your-own-x
sindresorhus/awesome
EbookFoundation/free-programming-books
public-apis/public-apis
kamranahmedse/developer-roadmap
jwasham/coding-interview-university
donnemartin/system-design-primer
996icu/996.ICU
vinta/awesome-python
awesome-selfhosted/awesome-selfhosted
practical-tutorials/project-based-learning
facebook/react
TheAlgorithms/Python
vuejs/vue
torvalds/linux
ossu/computer-science
trekhleb/javascript-algorithms
tensorflow/tensorflow
trimstray/the-book-of-secret-knowledge
getify/You-Dont-Know-JS
CyC2018/CS-Notes
ohmyzsh/ohmyzsh
Significant-Gravitas/AutoGPT
microsoft/vscode
twbs/bootstrap
flutter/flutter
jackfrued/Python-100-Days
github/gitignore
jlevy/the-art-of-command-line
AUTOMATIC1111/stable-diffusion-webui
avelino/awesome-go
ollama/ollama
Snailclimb/JavaGuide
huggingface/transformers
airbnb/javascript
n8n-io/n8n
ytdl-org/youtube-dl
f/awesome-chatgpt-prompts
vercel/next.js
yangshun/tech-interview-handbook
langflow-ai/langflow
golang/go
yt-dlp/yt-dlp
labuladong/fucking-algorithm
Genymobile/scrcpy
Chalarangelo/30-seconds-of-code
microsoft/PowerToys
facebook/react-native
electron/electron
kubernetes/kubernetes
krahets/hello-algo
langchain-ai/langchain
langgenius/dify
justjavac/free-programming-books-zh_CN
nodejs/node
ripienaar/free-for-dev
open-webui/open-webui
d3/d3
mrdoob/three.js
excalidraw/excalidraw
axios/axios
rust-lang/rust
microsoft/TypeScript
denoland/deno
goldbergyoni/nodebestpractices
facebook/create-react-app
godotengine/godot
microsoft/terminal
microsoft/generative-ai-for-beginners
deepseek-ai/DeepSeek-V3
rustdesk/rustdesk
fatedier/frp
angular/angular
papers-we-love/papers-we-love
Hack-with-Github/Awesome-Hacking
iptv-org/iptv
tauri-apps/tauri
shadcn-ui/ui
mui/material-ui
ant-design/ant-design
Anduin2017/HowToCook
nvbn/thefuck
ryanmcdermott/clean-code-javascript
pytorch/pytorch
mtdvio/every-programmer-should-know
neovim/neovim
iluwatar/java-design-patterns
puppeteer/puppeteer
microsoft/Web-Dev-For-Beginners
fastapi/fastapi
comfyanonymous/ComfyUI
tailwindlabs/tailwindcss
PanJiaChen/vue-element-admin
supabase/supabase
jaywcjlove/awesome-mac
openai/whisper
storybookjs/storybook
2dust/v2rayN
ggml-org/llama.cpp
nvm-sh/nvm
florinpop17/app-ideas
gin-gonic/gin
ChatGPTNextWeb/NextChat
bitcoin/bitcoin
django/django
opencv/opencv
sveltejs/svelte
gohugoio/hugo
mermaid-js/mermaid
gothinkster/realworld
laravel/laravel
animate-css/animate.css
home-assistant/core
macrozheng/mall
3b1b/manim
oven-sh/bun
microsoft/markitdown
immich-app/immich
tonsky/FiraCode
bregman-arie/devops-exercises
spring-projects/spring-boot
google-gemini/gemini-cli
MunGell/awesome-for-beginners
doocs/advanced-java
microsoft/playwright
microsoft/ML-For-Beginners
tensorflow/models
DopplerHQ/awesome-interview-questions
clash-verge-rev/clash-verge-rev
nomic-ai/gpt4all
syncthing/syncthing
ruanyf/weekly
anuraghazra/github-readme-stats
netdata/netdata
louislam/uptime-kuma
FortAwesome/Font-Awesome
vitejs/vite
typicode/json-server
elastic/elasticsearch
rasbt/LLMs-from-scratch
hoppscotch/hoppscotch
unionlabs/union
junegunn/fzf
coder/code-server
sdmg15/Best-websites-a-programmer-should-visit
hacksider/Deep-Live-Cam
vuejs/awesome-vue
nestjs/nest
d2l-ai/d2l-zh
punkpeye/awesome-mcp-servers
Shubhamsaboo/awesome-llm-apps
thedaviddias/Front-End-Checklist
redis/redis
ventoy/Ventoy
browser-use/browser-use
abi/screenshot-to-code
moby/moby
swisskyrepo/PayloadsAllTheThings
pallets/flask
grafana/grafana
enaqx/awesome-react
tesseract-ocr/tesseract
josephmisiti/awesome-machine-learning
Developer-Y/cs-video-courses
strapi/strapi
modelcontextprotocol/servers
hakimel/reveal.js
astral-sh/uv
sherlock-project/sherlock
binary-husky/gpt_academic
protocolbuffers/protobuf
python/cpython
swiftlang/swift
awesomedata/awesome-public-datasets
ocornut/imgui
localsend/localsend
base/node
Stirling-Tools/Stirling-PDF
apache/superset
openai/openai-cookbook
expressjs/express
PKUFlyingPig/cs-self-learning
twitter/the-algorithm
obsproject/obs-studio
caddyserver/caddy
fffaraz/awesome-cpp
zed-industries/zed
ansible/ansible
